;year;Día;Mes;valor
0;2019;1;Ene;0.0
1;2019;2;Ene;694.77
2;2019;3;Ene;697.09
3;2019;4;Ene;697.64
4;2019;5;Ene;0.0
5;2019;6;Ene;0.0
6;2019;7;Ene;688.42
7;2019;8;Ene;679.69
8;2019;9;Ene;680.1
9;2019;10;Ene;678.09
10;2019;11;Ene;677.58
11;2019;12;Ene;0.0
12;2019;13;Ene;0.0
13;2019;14;Ene;675.15
14;2019;15;Ene;674.95
15;2019;16;Ene;673.76
16;2019;17;Ene;672.73
17;2019;18;Ene;671.37
18;2019;19;Ene;0.0
19;2019;20;Ene;0.0
20;2019;21;Ene;670.1
21;2019;22;Ene;672.42
22;2019;23;Ene;672.26
23;2019;24;Ene;672.41
24;2019;25;Ene;672.14
25;2019;26;Ene;0.0
26;2019;27;Ene;0.0
27;2019;28;Ene;667.04
28;2019;29;Ene;671.29
29;2019;30;Ene;669.6
30;2019;31;Ene;666.76
31;2020;1;Ene;0.0
32;2020;2;Ene;748.74
33;2020;3;Ene;754.16
34;2020;4;Ene;0.0
35;2020;5;Ene;0.0
36;2020;6;Ene;758.49
37;2020;7;Ene;771.82
38;2020;8;Ene;773.12
39;2020;9;Ene;766.83
40;2020;10;Ene;764.69
41;2020;11;Ene;0.0
42;2020;12;Ene;0.0
43;2020;13;Ene;770.56
44;2020;14;Ene;777.66
45;2020;15;Ene;772.29
46;2020;16;Ene;772.01
47;2020;17;Ene;773.36
48;2020;18;Ene;0.0
49;2020;19;Ene;0.0
50;2020;20;Ene;771.38
51;2020;21;Ene;769.93
52;2020;22;Ene;770.5
53;2020;23;Ene;772.12
54;2020;24;Ene;771.94
55;2020;25;Ene;0.0
56;2020;26;Ene;0.0
57;2020;27;Ene;776.52
58;2020;28;Ene;787.86
59;2020;29;Ene;788.13
60;2020;30;Ene;788.18
61;2020;31;Ene;797.96
62;2019;1;Feb;657.81
63;2019;2;Feb;0.0
64;2019;3;Feb;0.0
65;2019;4;Feb;655.39
66;2019;5;Feb;653.8
67;2019;6;Feb;652.78
68;2019;7;Feb;653.9
69;2019;8;Feb;654.44
70;2019;9;Feb;0.0
71;2019;10;Feb;0.0
72;2019;11;Feb;656.46
73;2019;12;Feb;660.82
74;2019;13;Feb;660.49
75;2019;14;Feb;661.6
76;2019;15;Feb;665.9
77;2019;16;Feb;0.0
78;2019;17;Feb;0.0
79;2019;18;Feb;663.98
80;2019;19;Feb;660.82
81;2019;20;Feb;658.75
82;2019;21;Feb;654.52
83;2019;22;Feb;654.33
84;2019;23;Feb;0.0
85;2019;24;Feb;0.0
86;2019;25;Feb;651.36
87;2019;26;Feb;649.22
88;2019;27;Feb;649.8
89;2019;28;Feb;649.92
90;2019;29;Feb;0.0
91;2019;30;Feb;0.0
92;2019;31;Feb;0.0
93;2020;1;Feb;0.0
94;2020;2;Feb;0.0
95;2020;3;Feb;799.11
96;2020;4;Feb;790.92
97;2020;5;Feb;781.78
98;2020;6;Feb;776.99
99;2020;7;Feb;779.12
100;2020;8;Feb;0.0
101;2020;9;Feb;0.0
102;2020;10;Feb;788.8
103;2020;11;Feb;795.88
104;2020;12;Feb;792.48
105;2020;13;Feb;788.33
106;2020;14;Feb;795.12
107;2020;15;Feb;0.0
108;2020;16;Feb;0.0
109;2020;17;Feb;792.73
110;2020;18;Feb;791.95
111;2020;19;Feb;796.9
112;2020;20;Feb;797.4
113;2020;21;Feb;804.74
114;2020;22;Feb;0.0
