,index,Periodo,1.Dólar observado,year,mes,dia
9642,3288,2009-01-01 00:00:00,,2009,01,01
9643,3289,2009-01-02 00:00:00,636.45,2009,01,02
9644,3290,2009-01-03 00:00:00,,2009,01,03
9645,3291,2009-01-04 00:00:00,,2009,01,04
9646,3292,2009-01-05 00:00:00,640.91,2009,01,05
9647,3293,2009-01-06 00:00:00,643.87,2009,01,06
9648,3294,2009-01-07 00:00:00,633.23,2009,01,07
9649,3295,2009-01-08 00:00:00,630.19,2009,01,08
9650,3296,2009-01-09 00:00:00,629.5,2009,01,09
9651,3297,2009-01-10 00:00:00,,2009,01,10
9652,3298,2009-01-11 00:00:00,,2009,01,11
9653,3299,2009-01-12 00:00:00,616.95,2009,01,12
9654,3300,2009-01-13 00:00:00,610.09,2009,01,13
9655,3301,2009-01-14 00:00:00,614.85,2009,01,14
9656,3302,2009-01-15 00:00:00,615.85,2009,01,15
9657,3303,2009-01-16 00:00:00,625.63,2009,01,16
9658,3304,2009-01-17 00:00:00,,2009,01,17
9659,3305,2009-01-18 00:00:00,,2009,01,18
9660,3306,2009-01-19 00:00:00,615.48,2009,01,19
9661,3307,2009-01-20 00:00:00,620.78,2009,01,20
9662,3308,2009-01-21 00:00:00,624.81,2009,01,21
9663,3309,2009-01-22 00:00:00,623.64,2009,01,22
9664,3310,2009-01-23 00:00:00,622.3,2009,01,23
9665,3311,2009-01-24 00:00:00,,2009,01,24
9666,3312,2009-01-25 00:00:00,,2009,01,25
9667,3313,2009-01-26 00:00:00,621.17,2009,01,26
9668,3314,2009-01-27 00:00:00,616.94,2009,01,27
9669,3315,2009-01-28 00:00:00,616.2,2009,01,28
9670,3316,2009-01-29 00:00:00,611.89,2009,01,29
9671,3317,2009-01-30 00:00:00,612.43,2009,01,30
9672,3318,2009-01-31 00:00:00,,2009,01,31
9673,3319,2009-02-01 00:00:00,,2009,02,01
9674,3320,2009-02-02 00:00:00,617.1,2009,02,02
9675,3321,2009-02-03 00:00:00,621.78,2009,02,03
9676,3322,2009-02-04 00:00:00,623.87,2009,02,04
9677,3323,2009-02-05 00:00:00,617.2,2009,02,05
9678,3324,2009-02-06 00:00:00,620.28,2009,02,06
9679,3325,2009-02-07 00:00:00,,2009,02,07
9680,3326,2009-02-08 00:00:00,,2009,02,08
9681,3327,2009-02-09 00:00:00,615.82,2009,02,09
9682,3328,2009-02-10 00:00:00,610.13,2009,02,10
9683,3329,2009-02-11 00:00:00,605.7,2009,02,11
9684,3330,2009-02-12 00:00:00,602.12,2009,02,12
9685,3331,2009-02-13 00:00:00,593.02,2009,02,13
9686,3332,2009-02-14 00:00:00,,2009,02,14
9687,3333,2009-02-15 00:00:00,,2009,02,15
9688,3334,2009-02-16 00:00:00,583.32,2009,02,16
9689,3335,2009-02-17 00:00:00,584.35,2009,02,17
9690,3336,2009-02-18 00:00:00,592.37,2009,02,18
9691,3337,2009-02-19 00:00:00,592.45,2009,02,19
9692,3338,2009-02-20 00:00:00,604.17,2009,02,20
9693,3339,2009-02-21 00:00:00,,2009,02,21
9694,3340,2009-02-22 00:00:00,,2009,02,22
9695,3341,2009-02-23 00:00:00,619.44,2009,02,23
9696,3342,2009-02-24 00:00:00,621.41,2009,02,24
9697,3343,2009-02-25 00:00:00,598.98,2009,02,25
9698,3344,2009-02-26 00:00:00,600.69,2009,02,26
9699,3345,2009-02-27 00:00:00,595.76,2009,02,27
9700,3346,2009-02-28 00:00:00,,2009,02,28
9701,3347,2009-03-01 00:00:00,,2009,03,01
9702,3348,2009-03-02 00:00:00,599.04,2009,03,02
9703,3349,2009-03-03 00:00:00,603.73,2009,03,03
9704,3350,2009-03-04 00:00:00,609.29,2009,03,04
9705,3351,2009-03-05 00:00:00,614.85,2009,03,05
9706,3352,2009-03-06 00:00:00,610.79,2009,03,06
9707,3353,2009-03-07 00:00:00,,2009,03,07
9708,3354,2009-03-08 00:00:00,,2009,03,08
9709,3355,2009-03-09 00:00:00,605.4,2009,03,09
9710,3356,2009-03-10 00:00:00,610.18,2009,03,10
9711,3357,2009-03-11 00:00:00,604.88,2009,03,11
9712,3358,2009-03-12 00:00:00,601.47,2009,03,12
9713,3359,2009-03-13 00:00:00,598.09,2009,03,13
9714,3360,2009-03-14 00:00:00,,2009,03,14
9715,3361,2009-03-15 00:00:00,,2009,03,15
9716,3362,2009-03-16 00:00:00,594.0,2009,03,16
9717,3363,2009-03-17 00:00:00,585.95,2009,03,17
9718,3364,2009-03-18 00:00:00,583.29,2009,03,18
9719,3365,2009-03-19 00:00:00,591.72,2009,03,19
9720,3366,2009-03-20 00:00:00,584.24,2009,03,20
9721,3367,2009-03-21 00:00:00,,2009,03,21
9722,3368,2009-03-22 00:00:00,,2009,03,22
9723,3369,2009-03-23 00:00:00,587.14,2009,03,23
9724,3370,2009-03-24 00:00:00,579.78,2009,03,24
9725,3371,2009-03-25 00:00:00,576.44,2009,03,25
9726,3372,2009-03-26 00:00:00,574.47,2009,03,26
9727,3373,2009-03-27 00:00:00,575.25,2009,03,27
9728,3374,2009-03-28 00:00:00,,2009,03,28
9729,3375,2009-03-29 00:00:00,,2009,03,29
9730,3376,2009-03-30 00:00:00,572.39,2009,03,30
9731,3377,2009-03-31 00:00:00,582.1,2009,03,31
9732,3378,2009-04-01 00:00:00,583.26,2009,04,01
9733,3379,2009-04-02 00:00:00,582.08,2009,04,02
9734,3380,2009-04-03 00:00:00,575.12,2009,04,03
9735,3381,2009-04-04 00:00:00,,2009,04,04
9736,3382,2009-04-05 00:00:00,,2009,04,05
9737,3383,2009-04-06 00:00:00,580.35,2009,04,06
9738,3384,2009-04-07 00:00:00,582.2,2009,04,07
9739,3385,2009-04-08 00:00:00,582.81,2009,04,08
9740,3386,2009-04-09 00:00:00,580.61,2009,04,09
9741,3387,2009-04-10 00:00:00,,2009,04,10
9742,3388,2009-04-11 00:00:00,,2009,04,11
9743,3389,2009-04-12 00:00:00,,2009,04,12
9744,3390,2009-04-13 00:00:00,577.31,2009,04,13
9745,3391,2009-04-14 00:00:00,577.8,2009,04,14
9746,3392,2009-04-15 00:00:00,577.73,2009,04,15
9747,3393,2009-04-16 00:00:00,579.34,2009,04,16
9748,3394,2009-04-17 00:00:00,577.12,2009,04,17
9749,3395,2009-04-18 00:00:00,,2009,04,18
9750,3396,2009-04-19 00:00:00,,2009,04,19
9751,3397,2009-04-20 00:00:00,578.66,2009,04,20
9752,3398,2009-04-21 00:00:00,583.96,2009,04,21
9753,3399,2009-04-22 00:00:00,583.13,2009,04,22
9754,3400,2009-04-23 00:00:00,583.67,2009,04,23
9755,3401,2009-04-24 00:00:00,584.23,2009,04,24
9756,3402,2009-04-25 00:00:00,,2009,04,25
9757,3403,2009-04-26 00:00:00,,2009,04,26
9758,3404,2009-04-27 00:00:00,587.54,2009,04,27
9759,3405,2009-04-28 00:00:00,600.11,2009,04,28
